source_name,database_name,environment,workspace_id,connection_id,connection_name
DWH,BE-SQL-DATAPLATFORM-P-SQLDB-01,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,6455f9b6-b9f3-45fb-a617-8e57a000ee09,BE-DS-DATAPLATFORM-P
DWH,BE-SQL-DATAPLATFORM-P-SQLDB-01,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,6455f9b6-b9f3-45fb-a617-8e57a000ee09,BE-DS-DATAPLATFORM-P
DWH,BE-SQL-DATAPLATFORM-P-SQLDB-01,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,6455f9b6-b9f3-45fb-a617-8e57a000ee09,BE-DS-DATAPLATFORM-P
DWH,BE-SQL-DATAPLATFORM-P-SQLDB-01,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,6455f9b6-b9f3-45fb-a617-8e57a000ee09,BE-DS-DATAPLATFORM-P
LOG,LOG,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,c75610ac-4f9d-43e7-b94a-6e00b139f854,dbb_integration_LOG2_PRD
LOG,LOG,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,c75610ac-4f9d-43e7-b94a-6e00b139f854,dbb_integration_LOG2_PRD
LOG,LOG,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,c75610ac-4f9d-43e7-b94a-6e00b139f854,dbb_integration_LOG2_PRD
LOG,LOG,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,c75610ac-4f9d-43e7-b94a-6e00b139f854,dbb_integration_LOG2_PRD
MDS,MDS,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,806402bd-0732-411b-8f48-7de0365d8f49,dbb_integration_MDS_PRD
MDS,MDS,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,806402bd-0732-411b-8f48-7de0365d8f49,dbb_integration_MDS_PRD
MDS,MDS,QUAL,dda19ee2-c492-4ace-a2a0-9dc85489b570,806402bd-0732-411b-8f48-7de0365d8f49,dbb_integration_MDS_PRD
MDS,MDS,PRD,73b85bd0-56fc-4d30-8b4b-d0227e3c0361,806402bd-0732-411b-8f48-7de0365d8f49,dbb_integration_MDS_PRD
MTM,MTMDWH,TST,913a2dc2-5f68-4fb7-ab07-631a84561fd6,44e54521-c90d-45cd-822f-4402ed45139e,dbb_integration_MTM_PRD
MTM,MTMDWH,ACC,6109eeea-8ba5-4061-9a28-5d3955417728,44e54521-c90d-45cd-822f-4402ed45139e,dbb_integration_MTM_PRD
